City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,77.47,80,67,8.32,broken clouds
1,Albany,US,42.6001,-73.9662,71.76,48,67,1.01,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,80.4,77,46,13.33,scattered clouds
3,La Ronge,CA,55.1001,-105.2842,46.65,34,20,8.05,few clouds
4,Luderitz,NA,-26.6481,15.1594,71.11,60,63,6.44,broken clouds
5,Salalah,OM,17.0151,54.0924,75.42,23,0,16.13,clear sky
6,Butaritari,KI,3.0707,172.7902,80.53,81,23,19.15,light rain
7,Geraldton,AU,-28.7667,114.6,70.21,83,95,10.36,overcast clouds
8,Saldanha,ZA,-33.0117,17.9442,75.25,83,6,10.74,clear sky
9,Lorengau,PG,-2.0226,147.2712,82.56,75,48,7.45,scattered clouds
10,Peruibe,BR,-24.32,-46.9983,80.96,90,83,4.92,broken clouds
11,Pevek,RU,69.7008,170.3133,-17.7,90,9,8.72,clear sky
12,Makakilo City,US,21.3469,-158.0858,80.01,58,75,12.66,broken clouds
13,Hangu,CN,39.2489,117.7892,26.64,91,42,4.9,scattered clouds
14,Avarua,CK,-21.2078,-159.775,84.25,70,8,6.91,clear sky
15,Jamestown,US,42.097,-79.2353,68.52,37,75,5.75,broken clouds
16,Barrow,US,71.2906,-156.7887,-15.0,99,90,10.58,overcast clouds
17,Cabuyaro,CO,4.2817,-72.794,92.37,39,73,11.88,broken clouds
18,Dunedin,NZ,-45.8742,170.5036,56.8,71,100,8.99,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,46.51,53,0,12.66,clear sky
20,Avera,US,33.194,-82.5271,57.54,86,100,1.92,heavy intensity rain
21,Finschhafen,PG,-6.6024,147.8681,81.25,79,33,5.93,scattered clouds
22,Dikson,RU,73.5069,80.5464,19.54,86,70,17.54,broken clouds
23,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.04,71,98,1.34,heavy intensity rain
24,Qaqortoq,GL,60.7167,-46.0333,12.58,72,99,6.08,overcast clouds
25,Thompson,CA,55.7435,-97.8558,42.96,52,75,9.22,broken clouds
26,Vaini,TO,-21.2,-175.2,78.96,83,100,17.27,overcast clouds
27,Tual,ID,-5.6667,132.75,84.16,70,67,4.38,broken clouds
28,Busselton,AU,-33.65,115.3333,64.78,80,99,17.49,light rain
29,Ribeira Grande,PT,38.5167,-28.7,54.0,54,75,21.85,broken clouds
30,Ponta Do Sol,PT,32.6667,-17.1,62.06,74,100,0.67,overcast clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,0,17.27,clear sky
32,Katsuura,JP,35.1333,140.3,49.95,84,96,9.31,overcast clouds
33,Ponte Nova,BR,-20.4164,-42.9086,75.79,78,0,2.08,clear sky
34,Cape Town,ZA,-33.9258,18.4232,70.12,81,0,16.11,clear sky
35,Reconquista,AR,-29.15,-59.65,69.89,63,91,15.1,overcast clouds
36,Mataura,NZ,-46.1927,168.8643,55.47,69,100,4.32,overcast clouds
37,Hun,LY,29.1268,15.9477,72.66,8,2,25.99,clear sky
38,Escarcega,MX,18.6089,-90.7454,99.01,27,0,4.47,clear sky
39,Narsaq,GL,60.9167,-46.05,10.33,70,99,6.4,overcast clouds
40,Santa Cruz,BO,-17.8,-63.1667,91.45,49,75,16.11,broken clouds
41,Castro,BR,-24.7911,-50.0119,69.22,93,100,3.89,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,40.66,70,75,18.41,broken clouds
